,Validation_Participants,Accuracies
0,"['ZL95ND', 'UH86WU', 'NW43KD']",75.0
1,"['KP81QQ', 'UD76ZE', 'NM98CK']",86.25
2,"['TN24UW', 'WD22DM', 'NW43KD']",79.74683544303798
3,"['ZM16WQ ', 'KV12QU', 'ZE63HU']",89.87341772151899
4,"['GG82LX', 'RD14HS', 'KV12QU']",82.27848101265823
5,"['BC32CN', 'XT54MI', 'FN75LM']",73.41772151898734
6,"['NW43KD', 'OP26ZM', 'KE65EG']",86.07594936708861
7,"['YJ23HT', 'EP72RG', 'UH86WU']",86.07594936708861
8,"['VZ15MZ', 'MI48BI ', 'KV12QU']",73.41772151898734
9,"['UH86WU', nan, 'EW91TS']",87.5
10,"['VZ15MZ', 'WK86IV', 'YJ23HT']",83.54430379746836
11,"['ZJ21WP', 'RI22CF', 'KP81QQ']",81.25
12,"['VZ15MZ', 'UD76ZE', 'AG45GU']",89.87341772151899
13,"['KJ56MP', 'CJ45OW', 'YL41EA']",84.81012658227849
14,"['IK62AB', 'BL15RI', 'UD76ZE']",82.5
15,"['LK89WR', 'DE37RF', 'PO68UJ']",81.0126582278481
16,"['EX17UU', 'YA44DK', 'AV41VX']",88.60759493670886
17,"['PO68UJ', 'DE37RF', 'ED18OV']",86.07594936708861
18,"['PT48QJ', 'WK86IV', 'BL15RI']",82.5
19,"['NW43KD', 'VO99WV', 'CU97KJ']",86.07594936708861
